Exit,RM,BK,TT,SL,FM,OW,EM,XX,BP,DC,MB,
RM,0,369,180,44,41,26,238,122,62,50,20,
BK,393,0,538,171,260,87,815,340,96,127,138,
TT,185,470,0,327,451,96,957,282,161,179,136,
SL,45,161,335,0,136,45,637,94,57,61,14,
FM,42,281,443,133,0,22,1386,87,36,65,9,
OW,28,88,111,41,18,0,1304,194,66,46,25,
EM,264,966,1252,748,1512,1473,0,1006,1449,1201,902,
XX,103,325,275,87,90,189,989,0,760,256,203,
BP,64,90,144,59,33,79,1294,708,0,158,156,
DC,50,122,174,65,65,53,1164,259,185,0,216,
MB,24,139,127,15,8,28,860,194,165,209,0,
,,,,,,,,,,,,
